TrueY,PredY
0,0.025091192
0,0.15562174
0,0.05188324
0,0.080721766
1,0.068553716
1,0.5711299
1,0.50597733
0,0.013629487
1,0.7784287
1,0.54055566
0,0.058780707
1,0.113534376
0,0.7590706
1,0.6481917
0,0.23019078
0,0.27321512
0,0.06002445
0,0.05659135
1,0.5118473
1,0.14731456
1,0.6580582
1,0.706641
1,0.4153141
1,0.5773128
0,0.08880494
0,0.04453623
0,0.08828385
1,0.7949931
1,0.59630734
0,0.06513907
1,0.29076275
1,0.20221956
0,0.5209854
1,0.33427748
1,0.9044981
1,0.114245795
1,0.50361353
0,0.08388166
1,0.706106
1,0.8700546
0,0.1033919
0,0.07458689
1,0.40660277
1,0.6214361
0,0.04382571
1,0.72209585
1,0.4432806
1,0.67996526
0,0.08680122
1,0.79823536
0,0.037737235
1,0.27266514
0,0.1966578
1,0.36046618
1,0.2516671
1,0.57202286
0,0.12644815
0,0.17054164
0,0.104884304
0,0.1215208
1,0.20565836
0,0.084895335
0,0.07652256
0,0.18008085
0,0.01851614
1,0.80533457
0,0.02544505
1,0.7256659
1,0.66880476
1,0.7590138
0,0.0429841
1,0.079540126
0,0.07419764
1,0.5748251
1,0.5787414
1,0.3234953
1,0.43047222
0,0.08192907
0,0.1419887
1,0.7761009
0,0.04447335
1,0.8929664
1,0.8150102
0,0.028678875
0,0.045849837
0,0.012892997
0,0.120428145
0,0.02550519
1,0.7627236
0,0.18003377
0,0.058288306
1,0.3764265
0,0.02431811
1,0.6910628
1,0.80104715
1,0.71370614
1,0.67336303
1,0.7136797
0,0.031256165
0,0.088145256
0,0.11950733
0,0.08497037
0,0.055529155
0,0.058588885
0,0.030502101
1,0.63199943
0,0.05198742
0,0.091988094
1,0.595277
1,0.24126288
1,0.7772497
1,0.4663914
1,0.8351551
0,0.022734681
0,0.10813949
1,0.80338776
1,0.80145323
1,0.85041034
1,0.6793833
1,0.09219524
0,0.024727328
0,0.047746375
0,0.118934
1,0.37981707
1,0.7679484
0,0.124134496
1,0.69521284
1,0.6693821
1,0.5654767
0,0.045985483
0,0.10509827
0,0.038795233
1,0.5723915
0,0.070314
0,0.15817176
0,0.40119854
1,0.7128441
1,0.33358535
0,0.08830075
0,0.05936408
0,0.44277745
0,0.10491143
0,0.022556832
1,0.07623163
0,0.10621528
1,0.63501847
1,0.7541002
0,0.06989284
0,0.08511905
0,0.0118904505
0,0.037450824
0,0.1610052
0,0.042681716
0,0.06061866
0,0.24502072
0,0.06472979
0,0.15412861
1,0.1552839
0,0.04710639
0,0.057827692
1,0.59118867
0,0.028250149
0,0.060231306
