TrueY,PredY
1,0.014790508
0,0.24721225
0,0.53340226
0,0.40382522
0,0.020336421
1,0.99703014
0,0.093647934
1,0.99687177
1,0.23637827
0,0.42816925
0,0.06949858
0,0.0014243678
1,0.034664623
0,0.047555972
1,0.029168587
0,0.0028382742
1,0.99701434
0,0.040239647
0,0.0058771037
1,0.9412656
0,0.026241828
0,0.19508064
1,0.9998661
0,0.013995452
0,0.005901347
0,0.4118637
0,0.0021069683
1,0.9329783
0,0.015589297
0,0.027988732
1,0.930809
0,0.000372334
1,0.99955523
1,0.9981864
0,0.024512185
1,0.9982583
0,0.7381201
1,0.8573821
0,0.011841621
1,0.9571792
0,0.86981803
0,0.011758657
0,0.091868885
1,0.9821662
0,0.10909309
0,0.26627222
1,0.9977082
1,0.99876547
1,0.99989355
1,0.63971525
0,0.9835515
1,0.9986658
0,0.84448206
0,0.020913256
0,0.0037286119
0,0.8682133
1,0.2709117
0,0.10434668
1,0.99958515
1,0.3468093
0,0.1677529
1,0.9991394
1,0.9873112
0,0.0046613025
0,0.008136232
1,0.99914676
1,0.988667
1,0.99989146
1,0.99918795
0,0.94485873
0,0.12594001
0,0.001041211
0,0.0026989782
1,0.054436885
1,0.9202441
0,0.0126705
0,0.005471205
0,0.045397036
0,0.40504998
0,0.19102968
1,0.99968386
0,0.17914274
0,0.0031307116
0,0.0028176
0,0.2752821
1,0.9581801
0,0.005380709
0,0.3651821
0,0.36089104
1,0.9890836
1,0.99058676
0,0.0013859872
1,0.41277343
1,0.9991398
1,0.76883
1,0.99888766
1,0.9996521
1,0.9865521
1,0.19797395
1,0.41591978
0,0.08106518
0,0.0021607236
1,0.9993736
0,0.029044697
0,0.24118221
1,0.9980896
1,0.78241044
0,0.0017598007
0,0.82016975
0,0.11089681
0,0.018009413
1,0.049395077
0,0.0009800119
0,0.0027191986
0,0.46884385
0,0.77286595
1,0.98334473
0,0.19269753
0,0.005944324
1,0.16544844
0,0.032822177
0,0.22790246
0,0.3714777
1,0.9890178
0,0.031900063
0,0.07320438
0,0.027513886
0,0.34371048
1,0.7819217
1,0.5953599
0,0.0119121615
0,0.0024411022
0,0.33954015
0,0.70200086
1,0.99950296
1,0.9336727
1,0.76719123
1,0.9997131
1,0.9960715
0,0.01283401
1,0.9981125
0,0.60814786
1,0.99960583
0,0.00033898803
0,0.79191434
1,0.77621245
0,0.45153242
0,0.6892329
0,0.04070479
1,0.99805224
0,0.05007205
1,0.96006805
1,0.9988985
1,0.99744046
1,0.11712029
0,0.001545127
0,0.046522997
0,0.015163252
0,0.0037734478
1,0.9994976
1,0.84985304
1,0.9997881
0,0.0031758589
0,0.000535745
1,0.9994768
0,0.013992144
1,0.9892539
0,0.0075030075
1,0.99635714
1,0.21427453
0,0.6669115
1,0.99802494
0,0.076475516
0,0.079340205
1,0.99889517
1,0.9984339
0,0.010825267
0,0.11553688
0,0.9905077
0,0.023624115
0,0.014209673
0,0.0015321786
0,0.057300292
0,0.116430305
1,0.012077595
0,0.0044173123
0,0.0029801524
0,0.99495107
1,0.01762117
0,0.0016260706
1,0.9998106
0,0.004063205
0,0.0028637182
1,0.9237617
1,0.9989277
1,0.99967444
1,0.9993555
1,0.5806378
0,0.018099926
0,0.28362042
0,0.6362078
0,0.06148826
0,0.005397356
0,0.015526262
1,0.99194413
0,0.88120115
1,0.98418605
1,0.95788413
0,0.028833175
1,0.9985213
0,0.999925
1,0.99613744
0,0.015481612
1,0.9569454
0,0.040293045
1,0.999431
0,0.01414261
1,0.026671058
1,0.99851
0,0.000840805
0,0.14247444
0,0.2645922
0,0.00149886
1,0.9996997
0,0.078036554
0,0.014613015
0,0.6689759
0,0.0024224971
1,0.35214305
1,0.009978984
0,0.3126951
1,0.9996546
0,0.9975389
0,0.73311055
0,0.0018305627
0,0.25672692
0,0.007926533
1,0.99619806
0,0.99748105
1,0.20289285
1,0.9990727
1,0.99606115
0,0.0059980294
0,0.00022196436
1,0.81629455
1,0.94581956
0,0.001434935
0,0.19231224
1,0.99832153
0,0.032646477
1,0.9799186
0,0.0023398486
1,0.8581675
0,0.97924984
0,0.0049073054
1,0.167945
0,0.003043712
1,0.82512724
0,0.027837485
0,0.13349107
1,0.9999596
1,0.879535
0,0.04480543
1,0.47345322
0,0.0865946
1,0.9882299
1,0.19942099
1,0.43185696
1,0.9780308
0,0.019180866
0,0.3794409
0,0.5971316
0,0.0050240885
0,0.22247288
1,0.41046795
0,0.006969356
1,0.9918545
0,0.039800245
0,0.01826145
0,0.00029635342
0,0.045774233
1,0.42383128
1,0.9988265
1,0.99740493
1,0.99986666
0,0.014574277
1,0.9962813
1,0.997228
0,0.34146243
1,0.99937737
1,0.9986311
0,0.0008873767
1,0.9929091
0,0.9813983
1,0.9982134
0,0.3205274
1,0.9997431
1,0.9948721
1,0.9423292
1,0.99987125
1,0.83072454
0,0.04842357
0,0.006719622
0,0.00034799546
0,0.028466756
1,0.99794596
0,0.37534058
1,0.04968445
1,0.34102148
0,0.037761487
1,0.3903875
1,0.95130503
1,0.5164834
1,0.79007196
0,0.06288311
1,0.9990156
0,0.0009593672
0,0.9986092
0,0.0011580118
1,0.99935263
0,0.013455664
0,0.993015
1,0.99978715
1,0.99900085
0,0.00015146674
1,0.79409325
0,0.021670079
1,0.99955976
0,0.5767904
1,0.9908681
0,0.0008712197
0,0.117207326
0,0.0046964246
0,0.007874954
0,0.05865922
1,0.9985069
1,0.47019082
1,0.99691755
0,0.055508327
1,0.9997606
1,0.36190465
0,0.033139665
1,0.9948818
0,0.01790622
0,0.004308707
1,0.99517787
0,0.0004543076
0,0.01611148
1,0.96219635
0,0.53887177
1,0.9230479
0,0.05019738
